kabupaten_id,bencana_id,tanggal,korban_meninggal,korban_hilang,korban_luka,korban_mengungsi
1371,1,7/6/2016,0,0,0,0
1371,1,22/3/2016,2,0,0,0
1371,1,11/11/2015,0,0,0,0
1371,1,25/5/2015,0,0,0,0
1371,1,14/5/2015,0,0,0,125
1371,1,26/11/2014,0,0,0,0
1371,1,26/11/2014,0,0,0,0
1371,1,13/11/2014,0,0,0,0
1371,1,4/6/2014,0,0,0,0
1371,1,3/12/2013,0,0,0,0
1371,1,19/10/2013,0,0,0,300
1371,1,18/8/2013,0,4,0,0
1371,1,8/5/2013,0,0,0,0
1371,1,1/9/2012,0,0,0,0
1371,1,24/7/2012,0,0,2,3953
1371,1,29/2/2012,0,0,0,56
1372,1,31/1/2016,0,0,0,0
1372,1,29/11/2015,0,0,0,75
1372,1,29/5/2015,0,0,0,0
1372,1,25/11/2014,0,0,0,670
1372,1,31/10/2014,0,0,0,0
1373,1,20/5/2015,1,0,0,0
1373,1,1/1/2013,0,0,0,0
1373,1,1/12/2012,0,0,0,0
1373,1,1/11/2012,0,0,0,0
1375,1,22/3/2016,0,0,0,0
1375,1,30/1/2016,3,0,0,150
1375,1,28/11/2015,0,0,0,60
1375,1,27/11/2015,0,0,0,400
1375,1,16/10/2015,0,0,0,304
1375,1,13/3/2011,0,0,0,0
1376,1,8/2/2016,0,0,0,0
1376,1,25/11/2014,0,0,0,0
1377,1,1/1/2013,0,0,0,0
1377,1,30/12/2012,0,0,0,0
1401,1,6/5/2013,0,0,0,0
1401,1,1/1/2013,0,0,0,0
1401,1,1/11/2012,0,0,0,0
1402,1,1/1/2013,0,0,0,0
1403,1,1/2/2011,0,0,0,0
1404,1,14/2/2016,0,0,0,0
1406,1,8/2/2016,1,0,0,6250
1406,1,15/1/2016,0,0,0,0
1406,1,25/11/2015,0,0,0,0
1406,1,14/6/2015,0,0,0,0
1406,1,25/11/2014,0,0,0,0
1406,1,13/11/2014,0,0,0,132
1406,1,31/8/2014,0,0,0,0
1406,1,29/12/2013,0,0,0,0
1406,1,5/12/2013,0,0,0,85
1406,1,18/2/2013,1,0,0,3500
1406,1,1/11/2012,0,0,0,0
1406,1,28/11/2011,2,0,0,0
1406,1,25/11/2011,2,0,0,0
1406,1,1/1/2011,0,0,0,0
1407,1,8/2/2016,0,0,0,0
1407,1,7/2/2016,0,0,0,0
1407,1,15/1/2016,0,0,0,0
1407,1,11/12/2015,0,0,0,0
1407,1,25/11/2015,0,0,0,55
1407,1,16/11/2015,0,0,0,0
1407,1,5/2/2015,0,0,0,0
1407,1,28/12/2014,0,0,0,150
1407,1,25/12/2014,0,0,0,0
1407,1,19/12/2014,0,0,0,0
1407,1,19/12/2014,0,0,0,153
1407,1,18/12/2014,0,0,0,0
1407,1,17/12/2014,0,0,0,0
1407,1,14/11/2014,0,0,0,0
1407,1,12/11/2014,0,0,0,0
1407,1,2/4/2014,0,0,0,0
1407,1,28/12/2013,0,0,0,0
1407,1,8/12/2013,0,0,0,230
1407,1,21/2/2013,3,0,0,7000
1407,1,24/4/2011,0,0,0,0
1407,1,31/1/2011,0,0,0,0
1408,1,19/11/2013,0,0,0,15
1471,1,6/12/2013,0,0,0,0
1471,1,19/4/2013,0,0,0,0
1473,1,1/12/2015,0,0,0,0
1473,1,8/12/2013,0,0,0,0
1473,1,2/9/2013,0,1,0,0
1473,1,19/9/2011,0,0,0,0
1501,1,3/5/2016,0,0,0,0
1501,1,4/4/2016,0,0,0,0
1501,1,14/12/2015,0,0,0,0
1501,1,10/12/2015,0,0,0,0
1501,1,3/12/2015,0,0,0,150
1501,1,2/12/2015,0,0,0,0
1501,1,1/1/2013,0,0,0,0
1501,1,21/10/2012,0,0,0,0
1501,1,19/10/2012,0,0,0,0
1501,1,19/4/2012,0,0,0,0
1501,1,3/11/2011,0,0,0,0
1501,1,30/7/2011,0,0,0,0
1501,1,1/5/2011,0,0,0,0
1501,1,20/4/2011,0,0,0,0
1502,1,25/4/2016,0,1,0,0
1502,1,25/2/2016,0,0,1,20
1502,1,28/1/2016,0,0,0,0
1502,1,20/1/2016,0,0,0,0
1502,1,31/12/2015,0,0,0,0
1502,1,12/6/2015,1,0,0,0
1502,1,8/5/2015,0,0,0,0
1502,1,27/11/2014,0,0,0,0
1502,1,12/1/2014,0,0,0,0
1502,1,7/12/2013,1,0,0,0
1502,1,6/12/2013,0,0,0,0
1502,1,5/2/2013,0,0,0,0
1502,1,29/12/2012,0,0,0,0
1502,1,2/12/2012,1,0,0,0
1502,1,1/11/2012,0,0,0,0
1502,1,11/4/2012,0,0,0,0
1502,1,27/2/2012,1,0,0,0
1503,1,22/4/2016,0,0,0,0
1503,1,28/3/2016,0,0,0,0
1503,1,4/3/2016,0,0,0,0
1503,1,20/1/2016,0,0,0,0
1503,1,4/1/2014,0,0,0,0
1503,1,1/1/2013,0,0,0,0
1503,1,17/12/2012,0,0,0,0
1503,1,12/2/2012,0,0,0,0
1503,1,27/4/2011,0,0,0,0
1504,1,1/3/2016,0,0,0,0
1504,1,26/5/2014,0,0,0,0
1504,1,17/1/2014,0,0,0,0
1504,1,15/12/2013,0,0,0,0
1504,1,1/12/2013,0,0,0,0
1504,1,3/1/2013,0,0,0,0
1504,1,1/12/2012,0,0,0,0
1505,1,27/12/2014,0,0,0,0
1505,1,14/1/2014,2,0,0,0
1505,1,20/3/2013,0,0,0,0
1505,1,20/2/2013,1,0,0,1135
1505,1,16/2/2013,2,0,0,0
1505,1,3/1/2013,0,0,0,0
1505,1,29/12/2012,0,0,0,0
1505,1,3/4/2012,0,0,0,0
1505,1,1/1/2012,0,0,0,0
1505,1,1/5/2011,0,0,0,0
1506,1,9/1/2014,0,0,0,0
1506,1,1/1/2013,0,0,0,0
1506,1,5/1/2012,0,0,0,0
1507,1,11/4/2012,0,0,0,0
1507,1,1/2/2011,0,0,0,0
1507,1,1/1/2011,0,0,0,0
1508,1,26/4/2016,0,0,0,0
1508,1,8/2/2016,0,0,0,0
1508,1,7/12/2014,0,0,0,0
1508,1,13/1/2014,0,0,0,0
1508,1,1/1/2013,0,0,0,0
1508,1,1/1/2012,0,0,0,0
1509,1,25/4/2016,0,0,0,0
1509,1,25/2/2016,0,0,1,0
1509,1,6/2/2016,0,0,0,0
1509,1,28/1/2016,0,0,0,0
1509,1,31/1/2015,0,0,0,0
1509,1,13/1/2014,0,0,0,0
1509,1,2/1/2014,0,0,0,0
1509,1,30/12/2013,0,0,0,0
1509,1,29/1/2013,0,0,0,0
1509,1,24/12/2012,0,0,0,0
1509,1,7/1/2012,0,0,0,0
1571,1,26/12/2014,0,0,0,0
1571,1,16/1/2014,0,0,0,0
1571,1,10/3/2013,0,0,0,0
1571,1,21/12/2011,0,0,0,0
1571,1,22/8/2011,0,0,0,0
1572,1,14/12/2015,0,0,0,0
1572,1,26/11/2014,0,0,0,0
1572,1,25/11/2014,0,0,0,0
1572,1,21/11/2014,0,0,0,0
1572,1,1/1/2013,0,0,0,0
1572,1,1/12/2012,0,0,0,0
1572,1,1/11/2012,0,0,0,0
1572,1,3/11/2011,0,0,0,0
1572,1,1/3/2011,0,0,0,0
1601,1,17/3/2016,0,0,0,0
1601,1,24/2/2016,0,0,0,0
1601,1,17/3/2014,0,0,0,0
1601,1,10/1/2014,0,0,0,0
1601,1,3/12/2013,0,0,0,0
1602,1,21/1/2015,0,0,0,0
1602,1,17/1/2015,0,0,0,0
1602,1,12/1/2014,0,0,0,0
1602,1,10/1/2014,0,0,0,0
1602,1,8/1/2014,0,0,0,0
1602,1,15/12/2013,0,0,0,0
1602,1,12/12/2013,0,0,0,0
1602,1,20/2/2013,0,0,0,0
1602,1,14/2/2013,0,0,0,0
1602,1,1/2/2013,0,0,0,0
1602,1,28/12/2012,0,0,0,0
1602,1,9/4/2012,0,0,0,0
1603,1,21/4/2016,0,0,0,0
1603,1,11/2/2015,0,0,0,0
1603,1,19/12/2014,0,0,0,0
1603,1,18/12/2014,0,0,0,0
1603,1,2/1/2014,0,0,0,0
1603,1,8/12/2013,0,0,0,0
1603,1,7/12/2013,0,0,0,0
1603,1,21/4/2013,0,0,0,0
1603,1,20/2/2013,0,0,0,0
1603,1,18/12/2012,0,0,0,0
1603,1,24/4/2012,0,0,0,0
1603,1,27/4/2011,0,0,0,0
1604,1,21/4/2016,0,0,0,0
1604,1,3/4/2016,0,0,0,0
1604,1,1/2/2016,0,0,0,0
1604,1,23/1/2016,0,0,0,301
1604,1,16/1/2016,0,0,0,0
1604,1,15/1/2016,0,0,0,0
1604,1,2/1/2016,0,0,0,0
1604,1,9/2/2015,0,0,0,0
1604,1,8/2/2015,0,0,0,0
1604,1,6/2/2015,0,0,0,0
1604,1,10/3/2014,0,0,0,0
1604,1,26/4/2013,0,0,0,0
